Output.Type,Output,Answer.Type,Choices,Correct.Answer,Hint,Figure,Figure.Type,Video,Tag,Notes,,,,,
text,"Today, I'll be teaching you the basics of data analysis. It probably makes sense to start by defining the word DATA.",,,,,,,,data,,,,,,
text,"According to Wikipedia, ""Data are values of qualitative or quantitative variables, belonging to a set of items.""",,,,,,,,data,,,,,,
text,"Often the ""set of items"" that we are interested in studying is referred to as the POPULATION. Data analysis usually involves studying a subset, or SAMPLE, of an entire population.",,,,,,,,sample vs. population,,,,,,
figure,Here is a diagram showing the relationship between a population and a sample.,,,,,mod1_pop_vs_samp.R,new,,sample vs. population,,,,,,
text,"Data analysis should always start with a specific question of interest. For example, we might ask ""What percentage of people living in the United States are over six feet tall?""",,,,,,,,sample vs. population,,,,,,
text,"Here, our population of interest is everyone living in the US. Since it's impractical to measure the heights of over 300 million people, we could instead choose 100 people at random and measure their heights. Our hope would be that this sample of 100 people is REPRESENTATIVE of the entire US population.",,,,,,,,sample vs. population,,,,,,
question,"Let's quickly test your understanding of the term REPRESENTATIVE. If you were interested in studying the health of men living in the US, ages 18-25, which sample would be more representative of the target population: a sample of 50 men who live in a nearby retirement home, or a sample of 50 men who are students at a local university?",multiple,"Men living at the retirement home
College students",College students,"Since your target population is all men ages 18-25 living in the US, which of these 2 sample populations more closely matches the population of interest?",,,,sample vs. population,,,,,,
video,Would you like to watch a video on these topics now?,,,,,,,http://youtu.be/sRArT81TVEM,sample vs. population,,,,,,
text,The purpose of analyzing a sample is to draw conclusions about the population from which the sample was selected. This is called INFERENCE and is the primary goal of INFERENTIAL STATISTICS.,,,,,,,,,,,,,,
text,"In order to make any inferences about the population, we first need to describe the sample. This is the primary goal of DESCRIPTIVE STATISTICS.",,,,,,,,,,,,,,
text,"If we want to describe our sample using just one number, how would we best do it? A good start is to find the center, the middle, or the most common element of our data. Statisticians call this the CENTRAL TENDENCY.",,,,,,,,central tendency,,,,,,
text,"There are three different methods for finding such a number and the applicability of each method depends on the situation. Those three methods are called the MEAN, MEDIAN, and MODE.",,,,,,,,central tendency,,,,,,
video,"Would you like to watch a brief video on mean, median, and mode?",,,,,,,http://youtu.be/h8EYEJ32oQ8,central tendency,,,,,,
question,"Mean, median, and mode are all measures of ____________.",text,,Central tendency,"This is a fancy term for the ""middle"" of a dataset.",,,,central tendency,,,,,,
question,"To illustrate these concepts, we will now look at a real life dataset. Type 'cars' and press Enter to see the dataset we'll be working with.",command,,cars,"Type 'cars' and press Enter. Do not use quotes, spaces, or uppercase letters.",,,,R,,,,,,
text,"You'll notice the rows are numbered 1 through 54, each representing exactly one car in the dataset. For each car, the following VARIABLES, or characteristics, are reported: 'type' (small, midsize, large), 'price' (USD), 'mpgCity' (city miles per gallon), 'driveTrain' (4WD, front, rear), 'passengers' (total capacity), and 'weight' (lbs). ",,,,,,,,R,,,,,,
text,"We'll be focusing on the 'mpgCity' variable in this lesson. For simplicity, let's extract it from our dataset and store it in a new variable.",,,,,,,,R,,,,,,
question,Access the 'mpgCity' variable from the 'cars' dataset using the 'dataset$variable' notation.,command,,cars$mpgCity,Use 'dataset$variable' notation. Remember the name of our dataset is 'cars' and the name of the variable we are interested in is 'mpgCity'.,,,,R,,,,,,
question,Now store the contents of this variable in a new variable called 'myMPG'.,command,,myMPG <- cars$mpgCity,"You'll have to retype your answer to the previous question, but this time use the assignment operator to assign its value to a new variable called 'myMPG'.",,,,R,,,,,,
text,"The ARITHMETIC MEAN, or simply the MEAN or AVERAGE, is the most common measurement of central tendency. To calculate the mean of a dataset, you first sum all of the values and then divide that sum by the total number of values in the dataset.",,,,,,,,mean,,,,,,
text,"However, when there are many values of interest, it becomes tedious to do this calculation by hand. Luckily R has a built-in function for computing the mean. The syntax for doing so is 'mean(variable)'.",,,,,,,,mean,,,,,,
question,Compute the mean value for 'myMPG' variable now.,command,,mean(myMPG),Use the 'mean' function by typing 'mean' followed by the name of your variable placed in parentheses. Don't use any spaces.,,,,mean,,,,,,
text,"Extreme values in our dataset can have a significant influence on the mean. For instance, if there was a car in our dataset that got 200 miles per gallon, this would inflate the mean upwards. This could be misleading since none of the other cars get anywhere near this gas mileage.",,,,,,,,mean,,,,,,
text,"An alternative to the mean, which is not influenced at all by extreme values, is the MEDIAN. The median is computed by sorting all values from least to greatest and then selecting the middle value. If there is an even number of values, then there are actually 2 middle values. In this case, the MEDIAN is equal to the MEAN of the 2 middle values. Don't worry if this is a little confusing. It will become more clear with practice.",,,,,,,,median,,,,,,
question,R also has a function for computing the median of a dataset and this is done by typing 'median(variable)'. Find the median value of your 'myMPG' variable now.,command,,median(myMPG),Use the 'median' function by typing 'median' followed by the name of your variable placed in parentheses. Don't use any spaces.,,,,median,,,,,,
text,"Finally, we may be most interested in finding the value that shows up the most in our dataset. In other words, what the most common value in our dataset? This is called the MODE and it is found by counting the number of times that each value appears in the dataset and selecting the most frequent value.",,,,,,,,mode,,,,,,
question,Use the 'table' function to see how many times each value appears for your 'myMPG' variable. The syntax for this function is the same as for the others you've seen.,command,,table(myMPG),"Type 'table' followed by your variable name placed in parentheses. As usual, leave out the spaces.",,,,mode,,,,,,
question,"The first row gives you the value of your variable and the second row gives you the number of times it appears in your dataset. Since the mode is the value of our variable that appears most frequently, what is the mode of our 'myMPG' variable?",exact,,19,"Keep in mind that the mode is the value of the variable that is most common, NOT the number of times which it appears.",,,,mode,,,,,,
text,"Congratulations! You've made it through your first lesson. We introduced basic concepts related to data and data analysis. Specifically, you learned three important measures of central tendency: mean, median, and mode. You also know how to compute these using R.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
